,Unnamed: 0,review,negative-score,positive-score,label
224,224,go store bought new nokia phone working great,0.28,0.72,Positive
225,225,love cable allows connect miniusb device pc,0.18,0.82,Positive
226,226,hoping,0.72,0.28,Negative
227,227,think good investment,0.07,0.93,Positive
228,228,hear im driving car usually dont even put loudest setting,0.84,0.16,Negative
229,229,good product good seller,0.01,0.99,Positive
230,230,product excellent works better verizon one boy cheaper,0.0,1.0,Positive
231,231,happy,0.01,0.99,Positive
232,232,looks nice,0.11,0.89,Positive
233,233,design odd ear clip comfortable,0.57,0.43,Negative
234,234,made case small difficult install,0.53,0.47,Negative
235,235,bluetooth range good days ago left phone trunk got call carried conversation without hitch,0.14,0.86,Positive
236,236,appears actually outperform original battery china came v325i,0.68,0.32,Negative
237,237,aggravating,0.61,0.39,Negative
238,238,especially love long battery life,0.09,0.91,Positive
239,239,nice headset priced right,0.03,0.97,Positive
240,240,cheap feel look cheap,0.57,0.43,Negative
241,241,design flaw,0.77,0.23,Negative
242,242,didnt think instructions provided helpful,0.75,0.25,Negative
243,243,delivery time,0.88,0.12,Negative
244,244,software great job could also make ringtones form existing cds without internet connection,0.17,0.83,Positive
245,245,thats huge design flaw unless im using correctly dont think case,0.85,0.15,Negative
246,246,comes strong light use light camera shots even flash sos signals seriously,0.68,0.32,Negative
247,247,found product easy set use,0.2,0.8,Positive
248,248,waste money,1.0,0.0,Negative
249,249,feels comfortable headsets wear glasses gets way sometimes,0.24,0.76,Positive
250,250,works good,0.0,1.0,Positive
251,251,igo chargers tips really great,0.06,0.94,Positive
252,252,howeverthe riingtones best neither games,0.19,0.81,Positive
253,253,impressed headset plantronics,0.69,0.31,Negative
254,254,better new,0.55,0.45,Negative
255,255,item arrived quickly works great metro pcs samsung schr450 slider phone sony premium sound ear plugs,0.0,1.0,Positive
256,256,take battery phone put back together restart,0.89,0.11,Negative
257,257,battery life still long enough motorola razor v3i,0.84,0.16,Negative
258,258,going first negatively review product,0.94,0.06,Negative
259,259,color even prettier thought would graphics incredibly sharp,0.3,0.7,Positive
260,260,attractive appears good quality,0.02,0.98,Positive
261,261,reversible plug works great,0.0,1.0,Positive
262,262,comfortable ear,0.15,0.85,Positive
263,263,real improvement,0.64,0.36,Negative
264,264,found product waaay big,0.52,0.48,Negative
265,265,sound clear people talk amazed quality,0.23,0.77,Positive
266,266,dont waste money,1.0,0.0,Negative
267,267,find inexcusable probably returning phone perhaps changing carriers,0.66,0.34,Negative
268,268,additional ear gels provided instructions whatsoever,0.58,0.42,Negative
269,269,battery holding well,0.08,0.92,Positive
270,270,needless say wasted money,0.79,0.21,Negative
271,271,theres really nothing bad say headset,0.52,0.48,Negative
272,272,much hype phone assumed best mistake,0.08,0.92,Positive
273,273,simply best bluetooth headset sound quality,0.04,0.96,Positive
274,274,impressed price cases,0.18,0.82,Positive
275,275,lot websites rating good phone,0.03,0.97,Positive
276,276,kind embarrassing use looks mostly embarrassing childlike company,0.91,0.09,Negative
277,277,really good far probably best bt headset ever,0.03,0.97,Positive
278,278,get better reception clarity phone ive,0.31,0.69,Positive
279,279,case great works fine 680,0.0,1.0,Positive
280,280,phone works great,0.0,1.0,Positive
281,281,dont waste money,1.0,0.0,Negative
282,282,work,0.99,0.01,Negative
283,283,buttons bad,0.96,0.04,Negative
284,284,love bluetooth,0.02,0.98,Positive
285,285,excellent service,0.01,0.99,Positive
286,286,particular model would work motorola q smartphone,0.79,0.21,Negative
287,287,yet plantronincs continues use flawed charger design,0.72,0.28,Negative
288,288,warning buy,0.88,0.12,Negative
289,289,excellent phone,0.0,1.0,Positive
290,290,simply want small flip phone look elsewhere extra bells whistles mediocre,0.41,0.59,Positive
291,291,setup went smoothly,0.67,0.33,Negative
292,292,product high quality chinese crap,0.76,0.24,Negative
293,293,ordered sony ericsson w810i think worked thats first used,0.74,0.26,Negative
294,294,another note phones appearance really looks rather bland especially black model,0.55,0.45,Negative
295,295,great product sure beats using fingers,0.02,0.98,Positive
296,296,gosh best phone ever,0.08,0.92,Positive
297,297,simple lightweight great fit,0.05,0.95,Positive
298,298,light easy use clear reception transmission,0.04,0.96,Positive
299,299,continue pairing periodically since somehow kept dropping,0.52,0.48,Negative
